Bunyi| Jawi| Keterangan;
Esang| اسڠ | Menghembus hidung (cara tradisional?);
Ingka| ايڠک | Gelak kuat (Gelak ingka-ingka atau Gelak kak kak);
Engah| اڠه | Bunyi mengah (juga: ngah);
Engeh| اڠيه | Bunyi mengah tapi lebih pendek nafasnya;
Egong| اݢوڠ | Gong;
Alun-Alun| الون٢ | Lagu atau irama;
Embek| امبيق | Bunyi kambing (juga: bek dan debek);
Empap| امڤڤ | Bunyi menghempap;
Uwak/Uak| اواق | Bunyi kerbau atau lembu, to bellow;
Uwek| اويق | Bunyi mual atau hampir muntah;
Aum| اءوم | Bunyi singa atau rimau (juga: ngaum);
Irup| ايروڤ | Bunyi menghirup;
Esak| ايسق | Bunyi tangisan atau menahan nangis;
Iyau/Iau| اياو | Bunyi kucing (juga: ngiau);
Bor/ce-/de-/le-| بور | Bunyi terjatuh dalam air;
Bereng| بيريڠ | Sejenis gong;
Besing| بسيڠ | Bunyi objek yang tercampak ke udara;
Bung/de-/le-| بوڠ | Bunyi boom yang mendalam;
Bengang| بڠڠ | Berdesing dalam telinga (juga: Bengal dan bengap);
Bap/de-/le-/gele-| بڤ | Bunyi orang terduduk atas benda lembut;
Bak| بق | Bunyi tampar lembut;
Buk| بوق | Bunyi benda jatuh atas benda lembut;
Bukbak| بقبق | Bunyi benda jatuh berhenti jatuh berhenti / Bunyi jantung berdegup kuat (juga: dukbap atau bukbap);
Belesit| بلسيت | The sound of switching? (juga: belebau / belasah);
Celum-belam| چلوم بلم | tramping in and out?;
Tarung| تاروڠ | Bunyi yang bergema / Bunyi guruh sabung-menyabung;
Tebas| تبس | Memotong dahan-dahan pokok atau semak-samun;
Tebang| تبڠ | Memotong pokok-pokok besar;
Teruk| تروق | Bunyi kain koyak;
Terkap| ترکڤ | Menangkap sesuatu dengan menutupnya menggunakan mangkuk atau yang serupa (juga: serkap tekap serkup terkup);
Terkup| ترکوڤ | Bunyi terkap tapi lebih kelam;
Tas/de-| تس | Bunyi seperti orang berjalan mengharungi rumput, rustling;
Tis| تيس | Bunyi tas tapi lebih tajam;
Tus| توس | Bunyi seperti bunyi senapang;
Tang/le-/kele-/len-/kelen-| تڠ | Bunyi syiling jatuh;
Ting/le-/de-| تيڠ | Bunyi tang tapi lebih nyaring;	
Tong/ke-/ken-/le-/len-/kelen-| توڠ | Bunyi besi yang bergema;
